"","X","Y"
"1",537.865,6915.137
"2",535.681,6905.807
"3",531.938,6913.152
"4",531.172,6914.824
"5",529.93,6942.346
"6",529.294,6947.197
"7",528.725,6947.796
"8",528.363,6956.029
"13",527.797,6953.245
"14",527.775,6951.988
"15",527.661,6948.534
"17",527.357,6951.87
"18",527.333,6953.356
"29",526.752,6953.039
"31",526.72,6952.45
"40",526.391,6952.071
"42",526.308,6953.03
"43",526.252,6956.103
"51",525.73,6953.912
"55",525.481,6955.239
"57",525.434,6944.563
"64",524.619,6956.832
"65",524.192,6959.52
"66",523.756,6942.699
"67",523.689,6955.43
"68",523.627,6939.957
"69",523.554,6951.025
"70",522.794,6957.519
"71",522.775,6955.209
"73",522.724,6939.24
"74",522.614,6941.981
"75",522.609,6953.164
"80",522.225,6957.494
"82",522.131,6959.367
"83",521.98,6952.566
"84",521.801,6953.691
"85",521.734,6957.467
"89",521.493,6959.222
"92",521.188,6959.783
"93",520.99,6905.772
"94",520.904,6957.544
"97",520.622,6932.177
"98",520.392,6959.429
"99",520.225,6932.077
"102",519.764,6932.253
"104",519.729,6939.776
"106",519.624,6950.457
"107",519.398,6941.066
"108",519.381,6948.608
"109",519.357,6959.582
"111",518.608,6960.864
"114",518.514,6941.859
"115",518.504,6962.391
"116",518.446,6946.796
"119",518.107,6933.765
"120",518.088,6943.086
"121",517.43,6959.953
"122",516.923,6949.201
"123",516.535,6948.941
"124",516.503,6944.113
"125",516.118,6915.004
"126",515.894,6963.643
"136",515.289,6953.668
"137",515.248,6933.492
"138",515.169,6960.076
"141",514.934,6944.463
"145",514.516,6947.465
"146",514.271,6931.876
"150",514.001,6945.728
"159",513.476,6944.007
"160",513.437,6946.033
"162",513.099,6948.428
"164",513.072,6945.711
"172",512.842,6930.611
"174",512.492,6950.046
"175",511.971,6946.758
"176",511.687,6956.826
"177",511.312,6954.613
"179",510.851,6953.497
"180",510.818,6931.078
"182",510.716,6952.873
"183",510.454,6988.744
"185",509.925,6957.686
"187",509.894,6949.357
"188",509.748,6951.706
"192",509.625,6956.426
"196",509.477,6953.849
"197",509.24,6989.184
"202",508.957,6933.071
"203",508.902,6957.979
"204",508.814,6989.619
"205",508.693,6931.842
"206",508.644,6987.65
"208",508.396,6986.738
"218",507.955,6953.374
"220",507.908,6953.898
"224",507.718,6955.58
"225",507.716,6984.606
"232",507.448,6987.018
"236",507.23,6955.926
"237",507.087,6954.526
"251",506.647,6961.507
"265",505.78,6980.086
"266",505.672,6989.47
"270",505.304,6929.362
"290",504.212,6991.164
"305",503.3,6987.31
"326",502.552,6984.65
"332",502.171,6990.935
"345",501.928,6982.558
"346",501.926,6981.056
"357",501.718,6984.064
"358",501.667,6992.652
"363",501.562,6981.886
"369",501.474,6991.116
"375",501.321,6919.171
"379",501.203,6996.278
"380",501.155,6983.787
"387",500.82,6992.332
"413",500.666,6990.1
"414",500.564,6995.598
"416",500.514,6979.3
"417",500.472,6982.516
"423",500.378,6995.142
"431",500.291,6982.928
"442",500.044,6995.75
"449",499.94,6997.94
"456",499.734,6971.344
"466",499.628,6978.742
"469",499.574,6995.86
"521",499.24,6991.898
"536",499.17,6989.982
"547",499.06,6989.246
"559",499.008,6988.126
"577",498.88,6971.768
"583",498.764,6974.528
"601",498.662,6988.566
"660",498.16,6991.39
"709",497.98,6988.03
"714",497.952,6998.31
"729",497.872,6972.762
"759",497.738,6974.593
"783",497.546,6978.062
"822",497.405,6985.352
"857",497.028,6988.062
"863",496.944,6982.326
"864",496.928,6981.066
"870",496.822,6987.048
"879",496.756,6972.374
"884",496.732,6971.084
"886",496.674,6998.712
"902",496.538,6963.754
"903",496.528,6975.646
"936",496.222,6987.988
"971",495.952,6993.838
"980",495.919,6998.856
"984",495.888,6979.852
"987",495.826,6971.006
"993",495.802,6992.816
"1001",495.746,6997.268
"1004",495.734,6979.32
"1014",495.668,6973.664
"1025",495.545,6988.216
"1040",495.43,6993.05
"1046",495.39,6996.98
"1058",495.122,6959.09
"1071",494.922,6997.522
"1072",494.895,6970.298
"1085",494.66,6978.697
"1088",494.532,6978.308
"1096",494.47,6999.11
"1097",494.434,6977.112
"1102",494.29,6999.492
"1107",494.224,6997.368
"1108",494.212,6981.37
"1110",494.208,6973.141
"1113",494.162,6976.116
"1116",494.042,6979.554
"1118",494.026,6996.768
"1120",494.01,6984.28
"1122",493.948,6969.586
"1128",493.834,6980.556
"1130",493.794,6974.194
"1132",493.74,6992.858
"1138",493.682,6989.868
"1151",493.48,6971.562
"1155",493.414,6980.98
"1169",493.204,6984.71
"1170",493.172,6993.896
"1194",492.57,6979.535
"1195",492.544,6985.075
"1196",492.376,6999.121
"1197",492.158,6978.77
"1206",491.724,6987.07
"1207",491.428,6977.352
"1208",491.27,6998.442
"1210",491.164,6977.728
"1212",490.368,6944.936
"1213",490.352,6971.068
"1218",489.964,6944.224
"1219",489.6,6979.324
"1222",489.492,6943.194
"1223",489.404,6951.75
"1228",488.918,6943.359
"1229",488.86,6977.832
"1230",488.774,6972.554
"1231",488.618,6976.073
"1232",488.476,6943.089
"1233",488.452,6983.838
"1235",488.252,6974.87
"1237",487.916,6943.576
"1238",487.63,6981.603
"1239",487.38,6974.052
"1240",487.184,6945.83
"1241",486.014,6954.602
"1244",484.994,6952.76
"1245",483.982,6986.028
"1246",482.752,6937.482
"1251",479.964,6992.424
"1255",478.786,6939.839
"1256",478.636,6995.334
"1257",476.959,6917.365
"1260",476.1,6936.101
"1261",476.091,6938.673
"1267",475.065,6933.651
"1268",474.477,6934.3
"1269",474.45,6921.261
"1270",474.442,6946.95
"1271",473.578,6947.948
"1273",471.942,6938.527
"1277",471.354,6947.692
"1278",471.105,6935.323
"1279",471.06,6940.671
"1291",470.586,6943.631
"1295",469.358,6945.366
"1296",468.986,6940.123
"1301",467.557,6915.11
"1308",466.76,6956.578
"1309",466.712,6939.563
"1311",466.342,6940.549
"1313",466.231,6936.879
"1320",465.965,6925.453
"1329",465.762,6919.516
"1331",465.323,6997.834
"1332",465.323,6926.597
"1333",465.176,6963.746
"1334",465.082,6945.603
"1336",464.973,6923.433
"1342",464.548,6928.423
"1382",463.712,6919.537
"1384",463.598,6945.863
"1392",463.195,6936.049
"1453",460.895,6934.089
"1454",460.619,6934.524
"1457",460.467,6922.088
"1458",460.17,6996.201
"1459",459.719,6926.396
"1468",458.556,6962.226
"1469",458.536,6961.124
"1472",458.241,6902.308
"1478",456.714,6953.019
"1479",456.665,6932.962
"1480",456.648,6953.813
"1483",455.816,6974.868
"1484",455.709,6902.958
"1485",455.326,6959.566
"1486",454.76,6961.374
"1487",454.589,6941.074
"1488",454.36,6927.434
"1489",454.279,6940.73
"1490",454.09,6935.894
"1493",452.568,6936.154
"1494",452.226,6939.177
"1505",451.045,6970.187
"1506",450.376,6970.267
"1512",445.297,6974.37
"1513",443.571,6967.609
